Portfolio,Lease ID,Asset ID,Country,Tenant Name,Estimated Rental Value,Net Effective Rent,Square Meters,Space utilization,Peak space utilization
Warehouse REIT,L39546,W10321,Spain,Zenith Marketing Group,75263430,79026602,71124,91%,100%
Warehouse REIT,L87923,W10529,Sweden,Serenity Salon & Spa,17469627,16770842,17945,61%,100%
Warehouse REIT,L34852,W10903,Portugal,Oasis Realty,32505133,30229774,32346,73%,75%
Warehouse REIT,L48146,W10027,UK,Moonlight Music Academy,55155096,56258198,51758,58%,90%
Warehouse REIT,L51436,W10123,Spain,Zenith Capital Management,23612801,25501825,24227,63%,84%
Warehouse REIT,L68179,W10256,Italy,Elemental Artistry,39522834,40708519,37452,80%,100%
Warehouse REIT,L46212,W10291,Portugal,Urban Fusion Architects,59804926,60402975,62215,60%,100%
Warehouse REIT,L38007,W10736,Sweden,Elemental Designs,11945721,13140293,14060,97%,100%
Warehouse REIT,L74770,W10659,Germany,EchoStar Communications,33387032,32051551,32693,49%,100%
Warehouse REIT,L76156,W10718,Sweden,Nexus Financial Group,92633202,95412198,97320,93%,100%
Warehouse REIT,L29738,W10875,Germany,Firefly Technologies,34721190,37846097,37846,67%,79%
Warehouse REIT,L72760,W10511,Sweden,Solaris Solutions,7674957,8058705,8381,69%,100%
Warehouse REIT,L17060,W10908,Netherlands,NovaTech Consulting,28269654,28835047,31430,58%,100%
Warehouse REIT,L53929,W10758,Germany,Thunderbird Aerospace,80894285,85747942,88320,55%,77%
Warehouse REIT,L85842,W10850,Italy,Serenity Yoga Studio,52085452,56252288,61315,85%,85%
Warehouse REIT,L45489,W10579,Portugal,Starlight Financial Services,52242997,57467297,55743,68%,100%
Warehouse REIT,L25505,W10531,UK,StellarTech Solutions,6259818,6322416,5880,85%,100%
Warehouse REIT,L13449,W10635,Russia,Aurora Engineering,81449176,82263668,83086,69%,100%
Warehouse REIT,L54902,W10729,UK,Solaris International,90213681,92017955,89257,66%,66%
Warehouse REIT,L26866,W10319,Italy,Proxima Logistics,75911594,76670710,75137,96%,100%
Warehouse REIT,L29765,W10697,Italy,OceanView Oil & Gas,89396989,90290959,90291,51%,72%
Warehouse REIT,L42162,W10700,Sweden,Zenith Zen Spa,23246302,25570932,25315,71%,78%
Warehouse REIT,L58910,W10705,Portugal,Crimson Catering,64161199,69935707,74132,76%,100%
Warehouse REIT,L39828,W10463,Italy,Golden Gate Catering,89940279,90839682,96290,88%,100%
Warehouse REIT,L72110,W10549,UK,Solaris International,97931165,99889788,91899,78%,100%
Warehouse REIT,L54220,W10245,Germany,Firefly Technologies,83821476,78792187,71701,70%,100%
Warehouse REIT,L37542,W10071,Netherlands,Pinnacle Painters,84656191,88889001,86222,85%,100%
Warehouse REIT,L84414,W10772,Sweden,Crystal Clear Pools,49507198,50992414,49463,100%,100%
Warehouse REIT,L10293,W10529,Sweden,Serenity Salon & Spa,61949245,64427215,59917,58%,100%
Warehouse REIT,L87076,W10335,Germany,Firefly Technologies,93994767,89295029,90188,51%,100%
Warehouse REIT,L61236,W10665,Netherlands,Horizon Healthcare Group,57605415,54149090,49817,71%,76%
Warehouse REIT,L69881,W10640,France,Unity Web Solutions,88411019,95483901,89755,66%,100%
Warehouse REIT,L73518,W10762,Spain,Elemental Eats Catering,85176613,92842508,90057,59%,98%
Warehouse REIT,L20965,W10957,Portugal,AquaTrek Adventures,8867318,8423952,9266,72%,100%
Warehouse REIT,L36427,W10988,Sweden,Nexus Financial Group,65144477,58630029,55699,83%,100%
Warehouse REIT,L33227,W10096,Spain,Horizon Law Firm,61044277,67148705,65806,100%,100%
Warehouse REIT,L83095,W10539,Netherlands,Sunbeam Technologies,89622935,82453100,88225,53%,95%
Warehouse REIT,L68923,W10609,Spain,Galaxy Graphics,15456553,16693077,18362,100%,100%
Warehouse REIT,L48011,W10780,Spain,Phoenix Fitness Center,37176791,34574416,33537,55%,98%
Warehouse REIT,L40051,W10550,France,Unity Web Solutions,95910724,92074295,90233,78%,100%
Warehouse REIT,L24848,W10537,Spain,Celestial Studios,64748248,68633143,64515,55%,100%
Warehouse REIT,L29313,W10929,Germany,EchoStar Communications,55941011,59856882,58660,64%,66%
Warehouse REIT,L22238,W10957,Portugal,AquaTrek Adventures,17600398,17952406,19748,79%,100%
Warehouse REIT,L76102,W10173,Germany,Atlas Logistics,36993519,39583065,38396,94%,100%
Warehouse REIT,L31499,W10150,Spain,Phoenix Fitness Center,54003829,54003829,57784,58%,100%
Warehouse REIT,L15879,W10786,Portugal,TerraFirm Landscaping,14988916,15438583,16828,77%,100%
Warehouse REIT,L79052,W10503,Netherlands,Celestial Travel Agency,59606689,56030288,54910,78%,100%
Warehouse REIT,L18288,W10063,UK,Alpine Adventures,53794123,52180299,54789,73%,95%
Warehouse REIT,L21459,W10112,Italy,SolarFlare Solar Panels,84601854,76141669,80710,89%,100%
Warehouse REIT,L29044,W10881,Netherlands,Pinnacle Painters,31189077,30253405,32674,93%,100%
Warehouse REIT,L21032,W10028,France,Elysian Fashion House,42511753,41661518,45411,79%,100%
Warehouse REIT,L89334,W10103,Italy,Golden Gate Catering,41891121,46080233,46080,99%,100%
Warehouse REIT,L64481,W10449,Netherlands,Sunbeam Technologies,8741614,8391949,8812,94%,100%
Warehouse REIT,L69821,W10677,Germany,Galactic Gaming Studios,13920091,14337694,14338,90%,100%
Warehouse REIT,L35271,W10361,France,LunaTide Productions,78819815,80396211,79592,75%,100%
Warehouse REIT,L13161,W10935,Netherlands,Horizon Healthcare Group,38043224,38043224,41467,66%,100%
Warehouse REIT,L60765,W10751,Italy,SilverLakes Realty,64597730,62659798,58274,52%,100%
Warehouse REIT,L44522,W10592,Sweden,Crystal Clear Pools,58989347,62528708,58777,100%,100%
Warehouse REIT,L87300,W10037,France,Tranquil Waters Spa,56965716,60953316,57906,55%,100%
Warehouse REIT,L42823,W10633,Portugal,Oasis Realty,70233553,73042895,72312,100%,100%
Warehouse REIT,L63564,W10249,Spain,Galaxy Graphics,49422418,52881987,49709,64%,82%
Warehouse REIT,L34232,W10681,Spain,Zenith Marketing Group,86240516,90552542,81497,59%,84%
Warehouse REIT,L43678,W10546,Spain,Horizon Law Firm,11369889,12052082,10847,69%,90%
Warehouse REIT,L27039,W10165,Portugal,Crimson Catering,2036805,2220117,2131,63%,87%
Warehouse REIT,L37601,W10783,UK,Alpine Adventures,2135693,2242478,2063,87%,94%
Warehouse REIT,L32557,W10448,Sweden,Nexus Financial Group,18154192,19606527,20979,55%,100%
Warehouse REIT,L52106,W10395,Netherlands,Horizon Healthcare Group,52945970,56652188,59485,75%,87%
Warehouse REIT,L47780,W10870,Spain,Phoenix Fitness Center,55924852,54806355,59739,88%,89%
Warehouse REIT,L15649,W10350,Netherlands,Quantum Innovations,50182869,49681040,49681,92%,100%
Warehouse REIT,L17441,W10623,Germany,Atlas Logistics,72894622,69978837,76977,86%,100%
Warehouse REIT,L12363,W10434,Germany,SolarX Innovations,76289332,70186185,72994,58%,81%
Warehouse REIT,L85357,W10038,Germany,Thunderbird Aerospace,67662146,66985525,60287,61%,100%
Warehouse REIT,L82454,W10177,Spain,Celestial Studios,95730673,96687980,94754,58%,68%
Warehouse REIT,L16761,W10117,UK,Moonlight Music Academy,80905106,74432698,74433,65%,70%
Warehouse REIT,L42239,W10387,UK,Moonlight Music Academy,36795488,38635262,36703,73%,100%
Warehouse REIT,L66659,W10634,Italy,Evolve Fitness Club,81851341,86762421,93703,79%,100%
Warehouse REIT,L49175,W10150,Spain,Phoenix Fitness Center,71166159,78282775,79848,82%,100%
Warehouse REIT,L54009,W10035,Netherlands,Horizon Healthcare Group,22251582,20916487,20498,58%,100%
Warehouse REIT,L89920,W10017,Netherlands,Everest Expeditions,15464197,14536345,14246,71%,100%
Warehouse REIT,L37499,W10675,UK,Quantum Quill Publishing,68691982,63883543,70272,54%,61%
Warehouse REIT,L87959,W10203,Russia,Phoenix Pharmaceuticals,77046935,81669751,76770,85%,100%
Warehouse REIT,L68628,W10229,Italy,Proxima Logistics,32276017,35180859,37644,75%,100%
Warehouse REIT,L16193,W10175,Italy,Zenith Pharmaceuticals,25715431,25972585,27531,68%,100%
Warehouse REIT,L42211,W10084,Portugal,BrightWave Marketing,44264658,42936718,42078,88%,100%
Warehouse REIT,L60830,W10501,Spain,Zenith Marketing Group,55841091,59749967,63932,56%,100%
Warehouse REIT,L13105,W10342,UK,Horizon Harmonics Music School,92916206,91057882,91968,83%,100%
Warehouse REIT,L88349,W10545,Russia,Aurora Engineering,94172543,84755289,85603,67%,100%
Warehouse REIT,L60616,W10834,Spain,Verdant Valley Farms,59228861,64559458,69079,80%,100%
Warehouse REIT,L41276,W10496,France,Luminous Events Planning,87510119,81384411,77315,88%,100%
Warehouse REIT,L86767,W10927,UK,Moonlight Music Academy,65824864,65824864,61875,82%,100%
Warehouse REIT,L12184,W10435,Portugal,Crimson Catering,79700340,83685357,86196,67%,100%
Warehouse REIT,L22951,W10421,Sweden,Solaris Solutions,50978504,53527429,56204,67%,100%
Warehouse REIT,L47251,W10013,Italy,Golden Gate Catering,8739591,8826987,8739,69%,70%
Warehouse REIT,L79055,W10510,Spain,Phoenix Fitness Center,9476500,9192205,9744,88%,100%
Warehouse REIT,L36580,W10451,France,LunaTide Productions,82901852,78756759,81119,51%,77%
Warehouse REIT,L30918,W10597,Portugal,AquaTrek Adventures,62645670,66404410,71717,95%,100%
Warehouse REIT,L89552,W10685,France,Moonlight Motors,96002806,99842918,90857,91%,100%
Warehouse REIT,L39957,W10790,Sweden,Zenith Zen Spa,66529987,59876988,53889,52%,100%
Warehouse REIT,L72226,W10556,Sweden,Elemental Designs,62729605,60847717,54763,91%,100%
Warehouse REIT,L50673,W10652,Italy,SolarFlare Solar Panels,53663475,57956553,59116,76%,100%
Warehouse REIT,L46442,W10074,Germany,SolarX Innovations,24861714,25110331,26868,92%,100%
Warehouse REIT,L49749,W10720,UK,Harmony Health Services,49444547,45983429,46903,89%,100%
Warehouse REIT,L64016,W10073,France,GreenEarth Sustainable Living,14003300,13583201,14670,49%,54%
Warehouse REIT,L63219,W10001,France,LunaTide Productions,28798581,26782680,24104,47%,100%
Warehouse REIT,L40387,W10315,UK,Quantum Quill Publishing,12505336,12130176,12979,54%,75%
Warehouse REIT,L54755,W10152,Netherlands,Everest Expeditions,59340546,59933951,56338,59%,100%
Warehouse REIT,L77544,W10101,Germany,Pacific Pearl Investments,59824208,61618934,64700,71%,100%
Warehouse REIT,L16384,W10164,Germany,SolarX Innovations,57592140,62775433,65286,90%,100%
Warehouse REIT,L43132,W10539,Netherlands,Sunbeam Technologies,3289849,3388544,3253,89%,100%
Warehouse REIT,L73084,W10677,Germany,Galactic Gaming Studios,92852692,88210057,91738,89%,100%
Warehouse REIT,L28601,W10326,Germany,Radiant Realty,2957345,2868625,2610,76%,85%
Warehouse REIT,L12623,W10953,Netherlands,Celestial Travel Agency,53115915,56302870,59681,87%,100%
Warehouse REIT,L55840,W10727,Sweden,Aquatic Adventures,10389549,11012922,12114,83%,100%
Warehouse REIT,L63125,W10367,Sweden,Aquatic Adventures,58762691,62288452,61043,81%,100%
Warehouse REIT,L75161,W10681,Spain,Zenith Marketing Group,16214718,15728276,15414,48%,71%
Warehouse REIT,L87071,W10898,Sweden,Nexus Financial Group,69398137,70786100,69370,61%,75%
Warehouse REIT,L64243,W10162,UK,Horizon Harmonics Music School,42979939,45988535,45989,69%,100%
Warehouse REIT,L48736,W10980,Netherlands,Quantum Innovations,80731391,83960647,78083,58%,100%
Warehouse REIT,L73779,W10519,Spain,Galaxy Graphics,86893382,94713786,90925,80%,100%
Warehouse REIT,L84298,W10035,Netherlands,Horizon Healthcare Group,46904525,50187842,55207,58%,100%
Warehouse REIT,L53278,W10967,Italy,OceanView Oil & Gas,52276066,52276066,54367,67%,100%
Warehouse REIT,L24276,W10901,France,LunaTide Productions,63750575,63750575,66301,100%,100%
Warehouse REIT,L66979,W10627,Spain,Celestial Studios,65704796,71618228,70186,72%,86%
Warehouse REIT,L82371,W10599,Russia,Aurora Accounting Services,58379587,63633750,64906,64%,100%
Warehouse REIT,L18525,W10342,UK,Horizon Harmonics Music School,21218408,22067144,19860,87%,100%
Warehouse REIT,L26764,W10518,Russia,SolarWinds Engineering,96473366,89720230,98692,86%,98%
Warehouse REIT,L81203,W10812,Germany,Galaxy Motors,9950352,10945387,9851,78%,100%
Warehouse REIT,L72714,W10156,Portugal,TerraFirm Landscaping,44179755,40645375,36987,51%,67%
Warehouse REIT,L15116,W10306,UK,SolarGlow Sustainable Energy,26230359,27804181,30585,68%,100%
Warehouse REIT,L84594,W10728,Netherlands,NovaTech Consulting,74145562,68213917,70942,88%,100%
Warehouse REIT,L61860,W10592,Sweden,Crystal Clear Pools,54818663,57011410,59292,80%,100%
Warehouse REIT,L52424,W10989,Netherlands,Sunbeam Technologies,43864184,47373319,51163,69%,100%
Warehouse REIT,L40363,W10280,France,Unity Web Solutions,37412343,40779454,40372,99%,100%
Warehouse REIT,L89801,W10491,Russia,Envision Architects,30353539,29746468,30639,52%,80%
Warehouse REIT,L42917,W10135,UK,Quantum Quill Publishing,53892524,51736823,54841,77%,100%
Warehouse REIT,L31019,W10848,Germany,Thunderbird Aerospace,19211936,20748891,18674,77%,100%
Warehouse REIT,L35652,W10152,Netherlands,Everest Expeditions,10050413,9246380,9524,63%,100%
Warehouse REIT,L48700,W10582,Spain,Elemental Eats Catering,52159463,54245842,51534,86%,100%
Warehouse REIT,L73855,W10319,Italy,Proxima Logistics,31991596,31671680,34205,61%,100%
Warehouse REIT,L42700,W10930,Portugal,SolarWave Energy Solutions,90413618,95838435,87213,57%,73%
Warehouse REIT,L68618,W10021,Portugal,Urban Fusion Architects,38989021,35090119,32283,62%,100%
Warehouse REIT,L73603,W10389,Germany,EchoStar Communications,65282329,68546445,66490,100%,100%
Warehouse REIT,L22584,W10245,Germany,Firefly Technologies,31714636,34251807,31854,97%,100%
Warehouse REIT,L85859,W10908,Netherlands,NovaTech Consulting,3880174,4112984,4236,85%,99%
Warehouse REIT,L79739,W10734,Russia,Oceanic Oil & Gas,70523073,70523073,71934,56%,75%
Warehouse REIT,L13701,W10820,France,Unity Web Solutions,10759204,11297164,11749,65%,100%
Warehouse REIT,L56364,W10620,Netherlands,Quantum Innovations,76547558,83436838,90112,69%,77%
Warehouse REIT,L61689,W10217,France,Tranquil Waters Spa,98708361,104630863,97307,77%,100%
Warehouse REIT,L89287,W10624,Portugal,BrightWave Marketing,11461064,11575675,10418,59%,100%
Warehouse REIT,L13300,W10798,Spain,Starship Security Services,39844147,42633237,43912,89%,100%
Warehouse REIT,L10936,W10773,Netherlands,Celestial Travel Agency,49063889,45138778,41979,70%,89%
Warehouse REIT,L12001,W10194,Russia,Oceanic Oil & Gas,72652329,73378852,71177,75%,100%
Warehouse REIT,L11033,W10936,UK,SolarGlow Sustainable Energy,21983354,22423021,23993,61%,78%
Warehouse REIT,L22693,W10356,Russia,GlobalGreen Energy,41657434,42907157,43336,76%,100%
Warehouse REIT,L55247,W10317,Germany,Galactic Gaming Studios,75680941,83249035,85747,73%,100%
Warehouse REIT,L68845,W10980,Netherlands,Quantum Innovations,9206962,8378335,7708,54%,97%
Prologis,L73434,W10496,France,Luminous Events Planning,68404673,72508953,74684,100%,100%
Prologis,L72913,W10243,UK,Alpine Adventures,91082662,82885222,83714,86%,100%
Prologis,L84181,W10762,Spain,Elemental Eats Catering,88722861,86948404,93904,85%,100%
Prologis,L87538,W10245,Germany,Firefly Technologies,19878524,18884598,20018,75%,100%
Prologis,L86685,W10793,France,GreenEarth Sustainable Living,92981333,94840960,94841,94%,100%
Prologis,L56448,W10469,France,TerraVista Landscaping,96668409,87968252,94126,81%,100%
Prologis,L25585,W10206,Netherlands,Firefly Technologies,92736916,92736916,95519,50%,68%
Prologis,L66579,W10839,Germany,EchoStar Communications,85238802,84386414,81855,51%,100%
Prologis,L70646,W10487,France,Tranquil Waters Spa,38283477,40963320,40144,100%,100%
Prologis,L72081,W10986,Russia,GlobalGreen Energy,94335076,89618322,81553,75%,100%
Prologis,L62738,W11000,France,Unity Web Solutions,14221800,14648454,15674,60%,69%
Prologis,L29244,W10380,Germany,Radiant Cosmetics,51487718,46338946,41705,72%,100%
Prologis,L56843,W10512,Netherlands,Everest Expeditions,24134650,25824076,24016,100%,100%
Prologis,L32170,W10870,Spain,Phoenix Fitness Center,40536191,40941553,37257,92%,100%
Prologis,L89339,W10350,Netherlands,Quantum Innovations,82142219,87892174,94045,93%,100%
Prologis,L68582,W10105,Spain,Proxima Builders,69595664,75859274,81169,84%,100%
Prologis,L81726,W10332,Netherlands,Everest Expeditions,9883637,10180146,10995,73%,92%
Prologis,L24677,W10643,Italy,Golden Gate Catering,46196345,48968126,46030,83%,100%
Prologis,L34597,W10191,Germany,Pacific Pearl Investments,63298584,64564556,71021,78%,100%
Prologis,L40083,W10381,Portugal,Urban Fusion Architects,4069400,4110094,4439,96%,97%
Prologis,L20946,W10976,Italy,Elemental Artistry,37442978,35570829,39128,57%,58%
Prologis,L32941,W10167,Russia,AquaSplash Water Park,72714658,66170339,64185,84%,100%
Prologis,L62864,W10084,Portugal,BrightWave Marketing,44510796,42285256,45245,54%,100%
Prologis,L10402,W10161,Netherlands,Pinnacle Painters,53818909,55971665,57091,100%,100%
Prologis,L60570,W10591,Spain,Zenith Marketing Group,60916874,64571886,62635,73%,100%
Prologis,L43645,W10965,Germany,Firefly Technologies,35468421,38660579,35181,100%,100%
Prologis,L23543,W10176,Russia,GlobalGreen Energy,63506263,64141326,66707,88%,100%
Prologis,L57173,W10186,Spain,Horizon Law Firm,26485422,28074547,30040,89%,100%
Prologis,L40214,W10615,Portugal,Crimson Catering,85069690,89323175,87537,77%,95%
Prologis,L13048,W10557,Netherlands,Everest Expeditions,79578265,77986700,85785,61%,100%
Prologis,L76874,W10668,Germany,Thunderbird Aerospace,20867876,18781088,18781,74%,100%
Prologis,L89458,W10134,Netherlands,Cascade Construction,98413997,98413997,90541,95%,100%
Prologis,L58899,W10554,Russia,Oceanic Oil & Gas,5988628,6108401,5681,60%,100%
Prologis,L62016,W10799,Sweden,Serenity Salon & Spa,25284251,22755826,20708,80%,100%
Prologis,L89814,W10079,Sweden,Serenity Salon & Spa,74553202,73807670,71593,83%,100%
Prologis,L21403,W10945,UK,Quantum Quill Publishing,83289686,81623892,79991,77%,90%
Prologis,L45197,W10075,Portugal,Crimson Catering,84267159,77525786,80627,76%,90%
Prologis,L40660,W10303,Spain,Zenith Capital Management,10607378,9652714,9749,52%,94%
Prologis,L65725,W10866,Germany,Radiant Realty,71488432,67914010,71989,62%,100%
Prologis,L28391,W10127,France,Tranquil Waters Spa,66245830,68233205,74374,78%,100%
Prologis,L39229,W10060,Spain,Phoenix Fitness Center,46736822,45334717,46695,66%,76%
Prologis,L49959,W10621,UK,StellarTech Solutions,91496974,86922125,93876,93%,95%
Prologis,L41988,W10556,Sweden,Elemental Designs,16274667,17088400,16405,96%,100%
Prologis,L64963,W10895,Italy,Zenith Pharmaceuticals,17957424,16161682,16647,77%,100%
Prologis,L48737,W10394,Sweden,Pinnacle Productions,68453538,69138073,66373,77%,78%
Prologis,L10450,W10255,Portugal,Crimson Catering,42628082,40070397,37666,72%,78%
Prologis,L49589,W10288,UK,Alpine Cafe & Bistro,48554038,49525119,46058,56%,100%
Prologis,L33563,W10161,Netherlands,Pinnacle Painters,84796138,87340022,83846,82%,100%
Prologis,L14753,W10879,Spain,Galaxy Graphics,48250330,48732833,46296,87%,100%
Prologis,L23319,W10827,Netherlands,Everest Expeditions,20396183,20804107,19556,69%,72%
Prologis,L89513,W10648,UK,Alpine Cafe & Bistro,1617696,1552988,1429,79%,97%
Prologis,L88732,W10261,UK,StellarTech Solutions,71733492,76754836,76755,67%,100%
Prologis,L78864,W10028,France,Elysian Fashion House,84933592,93426951,99967,100%,100%
Prologis,L64807,W10694,France,Crimson Creative Agency,63604779,62968731,69266,97%,100%
Prologis,L40983,W10823,Italy,Golden Gate Catering,4318157,4749973,5225,100%,100%
Prologis,L62108,W10135,UK,Quantum Quill Publishing,8606815,9381428,9569,75%,100%
Prologis,L73763,W10053,Netherlands,Celestial Travel Agency,51312577,49260074,51723,96%,100%
Prologis,L48624,W10179,Netherlands,Sunbeam Technologies,46969344,46029957,50633,78%,80%
Prologis,L81047,W10664,Sweden,Pinnacle Productions,90939039,88210868,97032,59%,100%
Prologis,L62312,W10730,France,Unity Web Solutions,76996217,75456293,67911,98%,100%
Prologis,L67982,W10462,Portugal,Orion Analytics,83088301,91397131,89569,58%,100%
Prologis,L49317,W10492,Spain,Elemental Eats Catering,82212955,88789991,87902,100%,100%
Prologis,L39864,W10416,Germany,Radiant Realty,49774478,50272223,47256,69%,100%
Prologis,L57793,W10155,Germany,Firefly Technologies,27199828,28015823,28576,80%,100%
Prologis,L83192,W10221,Russia,Envision Architects,60395534,62207400,63452,98%,100%
Prologis,L51205,W10402,Spain,Elemental Eats Catering,40346705,41153639,41565,60%,100%
Prologis,L41178,W10520,Sweden,Zenith Zen Spa,210865,210865,202,99%,100%
Prologis,L42873,W10531,UK,StellarTech Solutions,2766011,2793671,2626,64%,95%
Prologis,L29157,W10939,Portugal,Starlight Financial Services,61965396,58247472,64072,72%,100%
Prologis,L66379,W10372,Portugal,Orion Analytics,88646338,95738045,93823,76%,100%
Prologis,L70498,W10227,Germany,Galactic Gaming Studios,64250472,61037948,65311,65%,100%
Prologis,L14649,W10588,Portugal,OceanView Real Estate,52388563,47673592,48627,82%,100%
Prologis,L29027,W10874,France,Crimson Creative Agency,83241729,74917556,74918,85%,88%
Prologis,L29896,W10195,Spain,Proxima Builders,65730396,67702308,71087,93%,100%
Prologis,L41068,W10882,UK,Horizon Harmonics Music School,64587697,69754713,71847,98%,98%
Prologis,L69031,W10567,UK,Moonlight Music Academy,6760499,7301339,6571,66%,100%
Prologis,L52446,W10962,Netherlands,Everest Expeditions,21197634,20561705,20767,56%,100%
Prologis,L15206,W10863,Netherlands,Celestial Travel Agency,72388394,68768974,71520,87%,100%
Prologis,L35504,W10310,Italy,Serenity Yoga Studio,42140887,42562296,42137,83%,100%
Prologis,L26209,W10980,Netherlands,Quantum Innovations,16844736,15665604,16762,57%,100%
Prologis,L88764,W10912,Portugal,Orion Analytics,96297179,89556376,85974,47%,93%
Prologis,L52310,W10781,Sweden,Solaris Solutions,82095908,88663581,96643,79%,100%
Prologis,L62404,W10914,Russia,Oceanic Oil & Gas,20238100,21047624,22942,65%,100%
Prologis,L63343,W10636,Spain,Horizon Law Firm,38271214,40184775,40587,69%,100%
Prologis,L28865,W10308,Germany,Thunderbird Aerospace,42626411,41773883,38014,68%,99%
Prologis,L65864,W10294,Spain,Verdant Valley Farms,60291316,57276750,60141,65%,100%
Prologis,L54226,W10879,Spain,Galaxy Graphics,38471034,41933427,39417,63%,73%
Prologis,L20215,W10629,Netherlands,Sunbeam Technologies,9436517,10380169,10588,90%,100%
Prologis,L69660,W10962,Netherlands,Everest Expeditions,30707646,27943958,25150,68%,90%
Prologis,L34998,W10970,Sweden,Zenith Zen Spa,37374327,36626840,39191,90%,100%
Prologis,L34837,W10569,Germany,EchoStar Communications,62364971,61741321,56185,91%,100%
Prologis,L15509,W10382,Italy,SolarFlare Solar Panels,29691417,32066730,32067,54%,100%
Prologis,L73039,W10787,Italy,OceanView Oil & Gas,25113572,25113572,25365,61%,100%
Prologis,L74378,W10101,Germany,Pacific Pearl Investments,58146214,56401828,54710,58%,74%
Prologis,L48947,W10067,Italy,OceanView Oil & Gas,67505483,70880757,74425,94%,100%
Prologis,L32324,W10937,France,Tranquil Waters Spa,49412766,51389277,50875,83%,100%
Prologis,L47022,W10907,Sweden,Aquatic Adventures,47810707,48288814,49737,54%,100%
Prologis,L25469,W10246,Portugal,TerraFirm Landscaping,13365967,13232307,12703,72%,100%
Prologis,L17331,W10475,Sweden,Crimson Creative Agency,8469521,7876655,7955,62%,100%
Prologis,L42398,W10392,Russia,Infinite Horizons Travel,47746467,45359144,40823,69%,100%
Prologis,L69271,W10185,Russia,Aurora Engineering,87215290,91576055,85166,75%,100%
