Portfolio,Lease ID,Asset ID,Country,Tenant Name,Estimated Rental Value,Net Effective Rent,Square Meters,Space utilization,Peak space utilization
Prologis,L28638,W10313,Sweden,Stellar Software Solutions,48058885,50461829,55003,82%,100%
Prologis,L71678,W10917,Netherlands,Everest Expeditions,96147051,104800286,107944,71%,100%
Prologis,L67293,W10630,UK,Harmony Health Services,73484872,74219721,69767,73%,85%
Prologis,L54572,W10248,Russia,SolarWinds Engineering,82202828,89601083,84225,88%,100%
Prologis,L78097,W10632,Germany,Galaxy Motors,79972922,72775359,76414,74%,100%
Prologis,L22429,W10589,Italy,Proxima Logistics,26230613,26755225,24080,53%,57%
Prologis,L19838,W10943,Sweden,Stellar Software Solutions,80464652,85292531,92969,79%,100%
Prologis,L73047,W10455,Russia,Aurora Engineering,17674341,16083650,16244,49%,100%
Prologis,L49037,W10047,Germany,Galactic Gaming Studios,79607292,86771948,89375,84%,100%
Prologis,L35848,W10261,UK,StellarTech Solutions,33863571,32847664,30220,62%,78%
Prologis,L66667,W10515,Germany,Firefly Technologies,74928380,78674799,72381,66%,100%
Prologis,L44894,W10260,Netherlands,Quantum Innovations,19016197,20157169,19552,83%,99%
Prologis,L38777,W10140,Russia,TerraNova Environmental,43939340,48333274,50267,63%,100%
Prologis,L27829,W10417,Portugal,AquaTrek Adventures,81779917,76055323,72253,74%,100%
Prologis,L26214,W10233,Netherlands,Celestial Travel Agency,41104117,41515158,43176,71%,82%
Prologis,L23288,W10445,Italy,Zenith Pharmaceuticals,51059470,47995902,47036,60%,100%
Prologis,L64079,W10960,Spain,Phoenix Fitness Center,56287747,60790767,66262,60%,100%
Prologis,L28627,W10487,France,Tranquil Waters Spa,45583694,48774553,44385,62%,100%
Prologis,L81950,W10058,Italy,Starry Skies Observatory,79738160,86117213,83534,98%,100%
Prologis,L22073,W10009,UK,Solaris International,76980747,80059977,84864,89%,100%
Prologis,L64834,W10613,France,GreenEarth Sustainable Living,73216340,68091196,69453,81%,84%
Prologis,L17812,W10714,Portugal,BrightWave Marketing,80393406,86020944,89462,57%,70%
Prologis,L73151,W10703,France,GreenEarth Sustainable Living,58577860,60920974,61530,73%,100%
Prologis,L40720,W10165,Portugal,Crimson Catering,33949408,33949408,34968,92%,100%
Prologis,L77012,W10008,Netherlands,NovaTech Consulting,51983494,56142174,61756,75%,100%
Prologis,L30153,W10068,Russia,SolarWinds Engineering,53683880,57441752,56293,81%,100%
Prologis,L12791,W10682,Sweden,Crystal Clear Pools,17850576,19457128,17706,98%,100%
Prologis,L72697,W10208,France,Elysian Fashion House,89561260,88665647,97532,78%,80%
Prologis,L29028,W10763,Sweden,Stellar Software Solutions,17091943,17433782,17782,66%,100%
Prologis,L34765,W10265,Italy,Zenith Pharmaceuticals,90425953,84096136,91665,81%,100%
Prologis,L12193,W10773,Netherlands,Celestial Travel Agency,75259236,76011828,79052,63%,100%
Prologis,L65608,W10754,Sweden,Pinnacle Productions,38992073,35482786,32644,49%,60%
Prologis,L63280,W10455,Russia,Aurora Engineering,75246423,80513673,86955,59%,100%
Prologis,L63487,W10428,Russia,SolarWinds Engineering,16774019,16270798,17084,69%,69%
Prologis,L45022,W10232,Sweden,Crystal Clear Pools,4034926,4438419,4838,92%,100%
Prologis,L14186,W10528,Spain,Starship Security Services,38917502,36971627,38081,60%,81%
Prologis,L13311,W10824,Russia,Oceanic Oil & Gas,76933257,77702590,76149,90%,100%
Prologis,L74787,W10499,Italy,Proxima Logistics,51075208,48010696,50411,55%,100%
Prologis,L47560,W10307,France,Tranquil Waters Spa,13793129,14068992,13647,52%,100%
Prologis,L57189,W10030,Portugal,SolarWave Energy Solutions,79750453,78155444,85189,64%,100%
Prologis,L30610,W10326,Germany,Radiant Realty,47315993,48262313,49228,91%,100%
Prologis,L80380,W10642,Portugal,Orion Analytics,33021221,34011858,34692,94%,100%
Prologis,L81758,W10777,Portugal,AquaTrek Adventures,74426188,66983569,67653,64%,100%
Prologis,L48033,W10526,Italy,Elemental Artistry,75924862,68332376,68332,70%,100%
Prologis,L47675,W10029,Germany,EchoStar Communications,87144821,84530476,83685,59%,77%
Prologis,L37768,W10837,UK,Moonlight Music Academy,53035024,50383273,50887,81%,100%
Prologis,L70144,W10217,France,Tranquil Waters Spa,66703764,70705990,65757,81%,100%
Prologis,L71894,W10586,France,Luminous Events Planning,98770434,95807321,96765,89%,100%
Prologis,L62477,W10017,Netherlands,Everest Expeditions,23804201,24280285,21852,60%,100%
Prologis,L50338,W10525,Portugal,Crimson Catering,95379072,95379072,86795,86%,100%
Prologis,L33639,W10024,Spain,Verdant Valley Farms,6217550,6652779,6453,88%,100%
Prologis,L88367,W10002,Germany,Galaxy Motors,23917190,24395534,23420,80%,100%
Prologis,L38138,W10338,Russia,SolarWinds Engineering,68450540,64343508,57909,73%,100%
Prologis,L28866,W10169,Sweden,Serenity Salon & Spa,32421549,29503610,29504,85%,87%
Prologis,L45007,W10388,France,Elysian Fashion House,41672439,45839683,42173,67%,95%
Prologis,L38073,W10770,Russia,TerraNova Environmental,63998278,58878416,58290,83%,100%
Prologis,L50535,W10476,Netherlands,Firefly Technologies,68626992,75489691,83039,59%,80%
Prologis,L39785,W10043,Sweden,Stellar Software Solutions,76363881,83236630,81572,87%,100%
Prologis,L14157,W10256,Italy,Elemental Artistry,67292484,62582010,63834,88%,100%
Prologis,L24369,W10167,Russia,AquaSplash Water Park,2112013,2112013,2302,97%,100%
Prologis,L58039,W10575,Netherlands,Horizon Healthcare Group,86703150,95373465,104911,56%,100%
Prologis,L55619,W10643,Italy,Golden Gate Catering,54748602,53106144,47796,97%,100%
Prologis,L19073,W10399,Portugal,Starlight Financial Services,85799321,79793369,80591,53%,100%
Prologis,L51950,W10087,Spain,Celestial Studios,14892252,16083632,16566,55%,100%
Prologis,L23568,W10494,Netherlands,Cascade Construction,43072354,43933801,45691,66%,96%
Prologis,L82878,W10266,Russia,GlobalGreen Energy,64551171,61969124,62589,49%,100%
Prologis,L88785,W10971,Netherlands,Pinnacle Painters,10460515,10774330,10774,76%,100%
Prologis,L22004,W10908,Netherlands,NovaTech Consulting,91234025,97620407,97620,60%,100%
Prologis,L40201,W10467,Netherlands,Everest Expeditions,96415470,90630542,95162,80%,100%
Prologis,L65705,W10105,Spain,Proxima Builders,6292802,6670370,7071,92%,100%
Prologis,L77158,W10615,Portugal,Crimson Catering,66612329,60617219,66679,78%,100%
Prologis,L83632,W10250,Sweden,Zenith Zen Spa,53972185,55591351,50588,68%,83%
Prologis,L35793,W10681,Spain,Zenith Marketing Group,3419817,3625006,3480,88%,100%
Prologis,L47347,W10293,Russia,Phoenix Pharmaceuticals,65345030,69265732,74807,81%,86%
Prologis,L50320,W10980,Netherlands,Quantum Innovations,65449542,58904588,64795,86%,100%
Prologis,L28214,W10349,Sweden,Serenity Salon & Spa,87477793,81354347,74846,74%,100%
Prologis,L12263,W10839,Germany,EchoStar Communications,33565490,31215906,29655,84%,100%
Prologis,L17893,W10288,UK,Alpine Cafe & Bistro,12699318,12445332,12321,70%,100%
Prologis,L29138,W10103,Italy,Golden Gate Catering,27195170,28826880,30845,84%,100%
Prologis,L84423,W10643,Italy,Golden Gate Catering,97449776,102322265,103345,100%,100%
Prologis,L25941,W10536,Russia,GlobalGreen Energy,24761817,27237999,24787,56%,100%
Prologis,L69623,W10823,Italy,Golden Gate Catering,44586217,43694493,39325,92%,100%
Prologis,L75062,W10997,Sweden,Aquatic Adventures,67463933,68813212,63308,62%,100%
Prologis,L81787,W10047,Germany,Galactic Gaming Studios,28750539,30188066,31999,96%,100%
Prologis,L43878,W10521,Netherlands,Pinnacle Painters,51684226,46515803,49772,50%,82%
Prologis,L79503,W10224,Netherlands,Cascade Construction,48289462,52635514,50530,77%,95%
Prologis,L58432,W10458,Netherlands,NovaTech Consulting,91756946,89004238,83664,56%,100%
Prologis,L44315,W10101,Germany,Pacific Pearl Investments,28745852,26158725,27728,57%,100%
Prologis,L30656,W10477,UK,Moonlight Music Academy,54706242,58535679,59706,86%,100%
Prologis,L24802,W10110,Germany,Radiant Cosmetics,29343563,30517306,31738,76%,100%
Prologis,L28401,W10958,Italy,Starry Skies Observatory,34901323,32458230,30186,48%,100%
Prologis,L84321,W10113,Russia,Phoenix Pharmaceuticals,34395473,32675699,33656,57%,100%
Prologis,L38313,W10191,Germany,Pacific Pearl Investments,62360974,64855413,71341,58%,100%
Prologis,L15035,W10655,Sweden,Crimson Creative Agency,53709317,50486758,47458,82%,100%
Prologis,L87398,W10291,Portugal,Urban Fusion Architects,48856126,48856126,45925,71%,100%
Prologis,L12750,W10414,UK,Harmony Health Foods,85501247,76951122,76182,81%,87%
Prologis,L44994,W10197,Netherlands,Everest Expeditions,75494852,70210212,64593,73%,100%
Prologis,L37219,W10376,Sweden,Elemental Designs,86397293,79485510,87434,83%,100%
Prologis,L13272,W10918,UK,Alpine Cafe & Bistro,40883247,38021420,34219,78%,78%
Prologis,L68310,W10089,Netherlands,Sunbeam Technologies,15855472,14269925,12986,63%,94%
Prologis,L75693,W10174,Portugal,BrightWave Marketing,10834015,10725675,10189,91%,100%
Prologis,L57486,W10483,Spain,Zenith Capital Management,62034162,58932454,63058,50%,100%
Prologis,L13337,W10414,UK,Harmony Health Foods,58091696,56348945,56349,73%,100%
Prologis,L31911,W10632,Germany,Galaxy Motors,22529245,20501613,20502,56%,100%
Prologis,L82537,W10748,France,Elysian Fashion House,32935104,35899263,34463,95%,100%
Prologis,L17579,W10002,Germany,Galaxy Motors,52823761,50182573,49179,48%,100%
Prologis,L52211,W10541,France,LunaTide Productions,22704244,20660862,19215,91%,100%
Prologis,L31761,W10318,Portugal,OceanView Real Estate,42694594,42694594,43975,55%,100%
Prologis,L61479,W10045,UK,Quantum Quill Publishing,15138333,14986950,13488,72%,78%
Prologis,L81001,W10047,Germany,Galactic Gaming Studios,14747262,13272536,13007,86%,100%
Prologis,L29418,W10435,Portugal,Crimson Catering,49731141,52217698,49085,73%,100%
Prologis,L54198,W10525,Portugal,Crimson Catering,32814767,33799210,36503,77%,100%
Prologis,L55064,W10225,UK,Quantum Quill Publishing,42521685,39545167,36382,76%,100%
Prologis,L19988,W10433,France,GreenEarth Sustainable Living,72332411,78119004,71088,100%,100%
Prologis,L27711,W10192,Portugal,Orion Analytics,97670722,96694015,87992,94%,100%
Prologis,L58592,W10981,UK,StellarTech Solutions,80180042,82585443,90018,83%,100%
Prologis,L10503,W10472,Italy,SolarFlare Solar Panels,58279972,62359570,56124,83%,100%
Prologis,L75745,W10596,Germany,Radiant Realty,51401322,46775203,48646,49%,100%
Prologis,L24286,W10282,Portugal,Orion Analytics,35580466,38782708,40334,71%,100%
Prologis,L45932,W10679,Italy,Proxima Logistics,44083381,44965049,41817,66%,100%
Prologis,L18858,W10446,Russia,GlobalGreen Energy,39781394,43361719,43795,92%,100%
Prologis,L49413,W10840,Portugal,SolarWave Energy Solutions,96898941,96898941,91085,89%,100%
Prologis,L73218,W10225,UK,Quantum Quill Publishing,9785063,9002258,9272,70%,100%
Prologis,L30754,W10702,UK,Horizon Harmonics Music School,62668864,57028666,56458,88%,100%
Prologis,L62820,W10176,Russia,GlobalGreen Energy,8168737,8822236,9175,66%,83%
Prologis,L18351,W10254,Germany,SolarX Innovations,49495130,54444643,49000,68%,77%
Prologis,L68820,W10555,Spain,Proxima Builders,60391830,59183993,58592,69%,100%
Prologis,L12624,W10853,Sweden,Stellar Software Solutions,84108734,82426559,89845,87%,100%
Prologis,L34796,W10384,Spain,Verdant Valley Farms,80895199,74423583,78889,67%,100%
Prologis,L36370,W10644,Russia,Oceanic Oil & Gas,28730869,27581634,27030,50%,100%
Prologis,L20622,W10850,Italy,Serenity Yoga Studio,58267872,63511980,67958,72%,72%
Prologis,L59505,W10320,Russia,TerraNova Environmental,76714776,82851958,88652,90%,100%
Prologis,L45675,W10878,Russia,SolarWinds Engineering,91061652,82866103,82037,74%,100%
Prologis,L87282,W10993,Portugal,Oasis Realty,32325344,32325344,33942,75%,100%
Prologis,L77206,W10396,UK,SolarGlow Sustainable Energy,94631814,95578132,92711,72%,89%
Prologis,L69873,W10800,Netherlands,Quantum Innovations,37650467,39909495,40708,87%,100%
Prologis,L67309,W10805,Italy,Zenith Pharmaceuticals,16072325,17197388,17713,80%,100%
Prologis,L11531,W10193,Italy,Golden Gate Catering,64052852,62131266,65859,49%,58%
Prologis,L31120,W10428,Russia,SolarWinds Engineering,63210039,57521135,61548,54%,100%
Prologis,L59209,W10129,Portugal,Starlight Financial Services,74677779,79905224,75910,87%,100%
Prologis,L52934,W10300,Portugal,SolarWave Energy Solutions,15552830,14775189,15662,94%,100%
Prologis,L48445,W10795,Portugal,Crimson Catering,93508192,91638028,86140,49%,88%
Prologis,L74135,W10034,Sweden,Pinnacle Productions,72830294,80113323,72903,59%,100%
Prologis,L64173,W10713,Germany,Atlas Logistics,9573639,8807748,7927,56%,100%
Prologis,L22237,W10464,Russia,Oceanic Oil & Gas,52148237,48497860,48983,52%,52%
Prologis,L59647,W10474,Spain,Verdant Valley Farms,59614849,59018701,53117,89%,100%
Prologis,L16290,W10383,Russia,Phoenix Pharmaceuticals,44261168,43818556,40313,64%,100%
Prologis,L71001,W10613,France,GreenEarth Sustainable Living,60570347,58753237,60516,71%,100%
Prologis,L77684,W10105,Spain,Proxima Builders,10180900,9773664,9480,71%,100%
Prologis,L49092,W10207,UK,Moonlight Music Academy,80433879,87672928,79782,94%,100%
Prologis,L31207,W10869,Russia,Aurora Accounting Services,10396773,11228515,11902,97%,100%
Prologis,L40735,W10034,Sweden,Pinnacle Productions,92528387,91603103,86107,49%,67%
Prologis,L63827,W10952,Sweden,Crystal Clear Pools,76197865,79245780,87170,95%,100%
Prologis,L53055,W10152,Netherlands,Everest Expeditions,13493263,12548735,13051,52%,94%
Prologis,L69398,W10967,Italy,OceanView Oil & Gas,33922294,36975300,39933,69%,100%
Prologis,L19562,W10274,Italy,Evolve Fitness Club,37573113,38324575,36025,89%,95%
Prologis,L61991,W10170,Netherlands,Quantum Innovations,50170348,45655017,43372,63%,100%
Prologis,L69347,W10423,UK,Alpine Adventures,45748539,43003627,43864,69%,100%
Prologis,L26849,W10577,France,Tranquil Waters Spa,36012484,34932109,33884,87%,98%
Prologis,L34673,W10208,France,Elysian Fashion House,9035081,9667537,9184,89%,100%
Prologis,L76852,W10428,Russia,SolarWinds Engineering,93482819,86939022,84331,81%,100%
Prologis,L14318,W10753,Spain,Zenith Capital Management,45092389,40583150,39771,47%,60%
Prologis,L19683,W10460,France,Unity Web Solutions,26256119,25468435,23176,90%,100%
Prologis,L55059,W10620,Netherlands,Quantum Innovations,20197512,20197512,19794,70%,100%
Prologis,L21521,W10679,Italy,Proxima Logistics,25769385,23450140,23216,48%,75%
Prologis,L80252,W10216,UK,SolarGlow Sustainable Energy,73221025,75417656,82959,77%,79%
Prologis,L80489,W10903,Portugal,Oasis Realty,51057516,52589241,55219,67%,75%
Prologis,L73158,W10143,Netherlands,Celestial Travel Agency,8153516,7908911,8463,84%,100%
Prologis,L88992,W10228,Portugal,OceanView Real Estate,15699108,16327072,16817,87%,100%
Prologis,L55098,W10427,Italy,OceanView Oil & Gas,22703662,21341442,20915,89%,100%
Prologis,L87939,W10213,Spain,Zenith Capital Management,11687831,11220318,10098,62%,73%
Prologis,L72404,W10340,Sweden,Zenith Zen Spa,52019347,53059734,57835,59%,100%
Prologis,L13573,W10907,Sweden,Aquatic Adventures,49069950,47107152,48991,93%,95%
Prologis,L64605,W10267,Spain,Celestial Studios,7304125,6719795,6585,56%,100%
Prologis,L78107,W10587,Germany,Galactic Gaming Studios,21029217,19346880,18380,56%,77%
Prologis,L70444,W10801,UK,StellarTech Solutions,42434010,45828731,47662,96%,100%
Prologis,L80723,W10428,Russia,SolarWinds Engineering,75846439,70537188,71948,86%,100%
Prologis,L12909,W10136,France,Luminous Events Planning,78663242,71583550,78026,67%,100%
Prologis,L34146,W10721,France,LunaTide Productions,9989083,10388646,9454,86%,100%
Prologis,L21652,W10879,Spain,Galaxy Graphics,98256995,100222135,91202,55%,100%
Prologis,L70392,W10834,Spain,Verdant Valley Farms,87001330,95701463,90916,67%,96%
Prologis,L53119,W10540,UK,Harmony Health Services,99514176,108470452,100878,100%,100%
Prologis,L66760,W10401,Russia,Envision Architects,88135433,88135433,96068,77%,100%
Prologis,L63547,W10026,Netherlands,Firefly Technologies,12660873,13926960,14763,100%,100%
Prologis,L27931,W10036,UK,SolarGlow Sustainable Energy,24447142,22491371,23616,53%,100%
Prologis,L28766,W10854,Netherlands,Cascade Construction,47169060,45282298,49358,86%,100%
Prologis,L38221,W10018,UK,Alpine Cafe & Bistro,86731846,88466483,93774,78%,100%
Prologis,L15589,W10753,Spain,Zenith Capital Management,69659542,73839115,68670,64%,100%
Prologis,L38664,W10356,Russia,GlobalGreen Energy,19541882,18564788,17637,87%,100%
Prologis,L12330,W10448,Sweden,Nexus Financial Group,14393149,13097766,12705,50%,65%
Prologis,L73477,W10297,UK,Moonlight Music Academy,83521812,82686594,76899,89%,100%
Prologis,L25705,W10208,France,Elysian Fashion House,64393128,58597746,53324,49%,57%
Prologis,L47054,W10946,France,Luminous Events Planning,2837277,2667040,2480,82%,100%
Prologis,L88848,W10982,France,Fusion Foods Inc.,83055064,79732861,76544,70%,100%
Prologis,L51900,W10679,Italy,Proxima Logistics,61795049,56851445,62537,70%,100%
Prologis,L78218,W10931,Italy,SilverLakes Realty,70702567,75651747,72626,100%,100%
Prologis,L12718,W10489,Portugal,Starlight Financial Services,97159020,103960151,110198,64%,100%
Prologis,L89727,W10970,Sweden,Zenith Zen Spa,12420422,13289852,12625,100%,100%
Prologis,L60915,W10492,Spain,Elemental Eats Catering,54592217,56775906,58479,56%,100%
Prologis,L13377,W10663,Spain,Zenith Capital Management,49545681,50536595,52558,79%,100%
Prologis,L75197,W10856,France,Luminous Events Planning,81212973,82837232,86151,66%,100%
Prologis,L39883,W10128,Germany,Thunderbird Aerospace,85222628,80961497,85010,74%,100%
Prologis,L83075,W10535,Italy,Zenith Pharmaceuticals,9145984,9877663,10668,100%,100%
Prologis,L32336,W10366,Spain,Horizon Law Firm,34895254,34546301,33164,55%,75%
Prologis,L23506,W10111,Portugal,Urban Fusion Architects,4030721,3829185,3829,78%,100%
Prologis,L84278,W10328,Italy,Starry Skies Observatory,96967637,104725048,101583,94%,100%
Prologis,L61531,W10082,France,Fusion Foods Inc.,86013238,81712576,76810,48%,100%
Prologis,L24452,W10549,UK,Solaris International,49880016,50378816,49875,74%,85%
Prologis,L19476,W10951,Spain,Zenith Marketing Group,47707613,44845156,43051,84%,100%
Prologis,L17767,W10098,Netherlands,NovaTech Consulting,41542975,44035554,39632,98%,100%
Prologis,L40889,W10148,Italy,Starry Skies Observatory,80960539,86627777,83163,55%,95%
Prologis,L48241,W10209,Germany,EchoStar Communications,237340,223100,221,87%,100%
Prologis,L61269,W10731,Germany,Pacific Pearl Investments,99285987,108221726,97400,61%,100%
Prologis,L51960,W10433,France,GreenEarth Sustainable Living,27114905,25759160,26274,57%,80%
Prologis,L43718,W10354,Portugal,BrightWave Marketing,2005392,1985338,2124,58%,91%
Prologis,L58535,W10422,Netherlands,Everest Expeditions,86079791,90383781,92191,92%,100%
Prologis,L24278,W10269,Netherlands,Sunbeam Technologies,9757075,9952217,10052,71%,76%
Prologis,L30470,W10042,Spain,Elemental Eats Catering,71506220,76511655,70391,56%,100%
Prologis,L85659,W10587,Germany,Galactic Gaming Studios,1821524,1839739,1821,81%,100%
Prologis,L73118,W10449,Netherlands,Sunbeam Technologies,45260372,49333805,45387,56%,100%
Prologis,L39776,W10454,Italy,Evolve Fitness Club,95430670,99247897,91308,66%,100%
Prologis,L54571,W10957,Portugal,AquaTrek Adventures,72737339,76374206,78665,53%,100%
Prologis,L79656,W10666,UK,SolarGlow Sustainable Energy,94822225,100511559,92471,80%,100%
Prologis,L16348,W10488,Germany,Thunderbird Aerospace,7954106,7158695,7588,70%,100%
Prologis,L37065,W10261,UK,StellarTech Solutions,40983234,44671725,41545,90%,100%
Prologis,L22562,W10829,France,TerraVista Landscaping,72337144,70167030,64554,66%,100%
Prologis,L81095,W10945,UK,Quantum Quill Publishing,40148934,39345955,38952,76%,100%
Prologis,L83553,W10517,Italy,OceanView Oil & Gas,32178570,34431070,33742,79%,93%
Prologis,L60552,W10324,UK,Harmony Health Foods,75888087,83476896,80973,72%,100%
Prologis,L38519,W10150,Spain,Phoenix Fitness Center,1339348,1473283,1591,70%,100%
Prologis,L35257,W10664,Sweden,Pinnacle Productions,35518601,34453043,31352,83%,100%
Prologis,L34914,W10292,Italy,SolarFlare Solar Panels,84762290,87305159,96036,94%,100%
Prologis,L23454,W10649,France,TerraVista Landscaping,82252286,78962195,82121,50%,57%
Prologis,L17435,W10788,Russia,SolarWinds Engineering,85445571,77755470,75423,51%,58%
Prologis,L56142,W10197,Netherlands,Everest Expeditions,24740013,22266012,22489,60%,71%
Prologis,L56591,W10079,Sweden,Serenity Salon & Spa,53295321,51163508,54233,64%,80%
Prologis,L51591,W10330,Spain,Phoenix Fitness Center,53979468,58837620,60014,69%,100%
Prologis,L12818,W10246,Portugal,TerraFirm Landscaping,61343063,66250508,72876,74%,100%
Prologis,L45481,W10730,France,Unity Web Solutions,33561150,30205035,30205,69%,79%
Prologis,L66859,W10204,Spain,Verdant Valley Farms,27841690,28676941,26956,97%,100%
Prologis,L18611,W10952,Sweden,Crystal Clear Pools,81539421,79908633,79110,63%,100%
Prologis,L86420,W10446,Russia,GlobalGreen Energy,2366426,2579404,2734,94%,100%
Prologis,L13840,W10379,France,TerraVista Landscaping,77561950,85318145,89584,100%,100%
Prologis,L43659,W10071,Netherlands,Pinnacle Painters,82229865,80585268,87032,74%,100%
Prologis,L29354,W10099,UK,Solaris International,25407965,24137567,24379,50%,100%
Prologis,L34281,W10373,Italy,Golden Gate Catering,49042211,47570945,44717,84%,100%
Prologis,L42152,W10126,UK,SolarGlow Sustainable Energy,6069175,5765716,5881,62%,100%
Prologis,L79092,W10145,France,Moonlight Motors,25464158,23427025,22958,76%,100%
Prologis,L63021,W10083,Germany,Atlas Logistics,25586986,26866335,24180,77%,100%
Prologis,L67867,W10404,Netherlands,Cascade Construction,67473883,61401234,55261,88%,100%
Prologis,L65611,W10648,UK,Alpine Cafe & Bistro,37266854,35776180,39354,95%,100%
Prologis,L50424,W10319,Italy,Proxima Logistics,39511707,42672644,43953,90%,100%
Prologis,L36604,W10429,Spain,Galaxy Graphics,55422262,58193375,62849,98%,100%
Prologis,L55851,W10483,Spain,Zenith Capital Management,99018833,91097326,92008,72%,100%
Prologis,L21605,W10518,Russia,SolarWinds Engineering,49421675,47444808,48868,56%,59%
Prologis,L54397,W10105,Spain,Proxima Builders,1053848,990617,991,79%,100%
Prologis,L86738,W10867,Portugal,AquaTrek Adventures,26562895,28953556,29243,75%,100%
Prologis,L74021,W10572,Russia,Infinite Horizons Travel,52089102,47921974,52235,81%,89%
Prologis,L30692,W10102,Portugal,Orion Analytics,94227723,94227723,92343,66%,100%
Prologis,L71218,W10579,Portugal,Starlight Financial Services,20432760,21658726,19493,57%,100%
Prologis,L65043,W10734,Russia,Oceanic Oil & Gas,20681898,21922812,19731,100%,100%
Prologis,L15842,W10170,Netherlands,Quantum Innovations,48652529,49625580,50122,100%,100%
Prologis,L25652,W10641,Germany,Pacific Pearl Investments,89001955,86331896,92375,75%,75%
Prologis,L40811,W10063,UK,Alpine Adventures,57827323,52044591,53085,83%,100%
Prologis,L43651,W10063,UK,Alpine Adventures,22100841,21216807,21853,78%,85%
Prologis,L71922,W10120,Portugal,SolarWave Energy Solutions,46705090,42968683,40820,88%,100%
Prologis,L66693,W10468,UK,Alpine Cafe & Bistro,11331721,12464893,12340,55%,100%
Prologis,L83523,W10903,Portugal,Oasis Realty,75068738,69813926,62833,90%,100%
Prologis,L39796,W10497,Germany,Galactic Gaming Studios,93792329,91916482,101108,89%,100%
