Portfolio,Lease ID,Asset ID,Country,Tenant Name,Estimated Rental Value,Net Effective Rent,Square Meters,Space utilization,Peak space utilization
Prologis,L88886,W10509,Russia,Aurora Accounting Services,4055661,4015104,3935,68%,92%
Prologis,L27831,W10669,Portugal,Starlight Financial Services,137373,138747,129,97%,98%
Prologis,L47216,W10407,Germany,Galactic Gaming Studios,72882131,69238024,67161,52%,100%
Prologis,L58311,W10505,France,Moonlight Motors,60952736,60343209,59740,97%,100%
Prologis,L27415,W10505,France,Moonlight Motors,83679543,90373906,95796,89%,100%
Prologis,L38697,W10524,Germany,SolarX Innovations,97079151,94166776,99817,92%,96%
Prologis,L70002,W10498,Portugal,OceanView Real Estate,59321269,64066971,69833,66%,100%
Prologis,L10043,W10143,Netherlands,Celestial Travel Agency,83501385,75986260,72947,86%,100%
Prologis,L75902,W10397,France,Tranquil Waters Spa,24585937,25077656,26833,67%,100%
Prologis,L23274,W10169,Sweden,Serenity Salon & Spa,93180540,88521513,92062,64%,100%
Prologis,L65734,W10861,Spain,Zenith Marketing Group,13085758,13740046,12916,59%,100%
Prologis,L39425,W10849,Portugal,Starlight Financial Services,40587796,41805430,44314,79%,86%
Prologis,L37177,W10323,Netherlands,Celestial Travel Agency,84250859,87620893,89373,63%,100%
Prologis,L76165,W10310,Italy,Serenity Yoga Studio,86169155,91339304,88599,85%,92%
Prologis,L77574,W10988,Sweden,Nexus Financial Group,48460093,51367699,50854,98%,100%
Prologis,L18881,W10762,Spain,Elemental Eats Catering,77817137,75482623,83031,75%,100%
Prologis,L89231,W10547,Sweden,Aquatic Adventures,65826691,63193623,66353,75%,100%
Prologis,L84855,W10016,Sweden,Elemental Designs,66579826,66579826,70575,86%,100%
Prologis,L48267,W10355,Italy,Zenith Pharmaceuticals,25141638,27655802,29868,92%,100%
Prologis,L39814,W10975,Portugal,Crimson Catering,89058345,89948928,82753,79%,100%
Prologis,L65612,W10781,Sweden,Solaris Solutions,65046113,64395652,66971,76%,100%
Prologis,L25755,W10302,Russia,Infinite Horizons Travel,54083630,48675267,44781,75%,77%
Prologis,L30823,W10258,Spain,Starship Security Services,19178499,21096349,21940,67%,100%
Prologis,L82574,W10609,Spain,Galaxy Graphics,57106979,55393770,58163,54%,55%
Prologis,L86024,W10251,Netherlands,Pinnacle Painters,34342611,34342611,35716,68%,85%
Prologis,L75722,W10132,Spain,Elemental Eats Catering,94849608,100540584,95514,70%,100%
Prologis,L24323,W10906,Spain,Horizon Law Firm,93290040,97954542,100893,58%,100%
Prologis,L57824,W10524,Germany,SolarX Innovations,24234763,25688849,27230,75%,100%
Prologis,L40077,W10833,Russia,Phoenix Pharmaceuticals,65542214,60298837,65726,50%,100%
Prologis,L86031,W10395,Netherlands,Horizon Healthcare Group,2005828,1945653,1848,57%,60%
Prologis,L32704,W10527,Russia,AquaSplash Water Park,24987613,26736746,28608,66%,100%
Prologis,L88541,W10050,Russia,TerraNova Environmental,10253096,10150565,9745,85%,100%
Prologis,L17266,W10004,Italy,Evolve Fitness Club,61199962,63035961,61145,92%,100%
Prologis,L13974,W10686,Germany,Radiant Realty,35380386,38210817,34390,82%,100%
Prologis,L60753,W10407,Germany,Galactic Gaming Studios,78277597,73580941,72109,79%,96%
Prologis,L36210,W10354,Portugal,BrightWave Marketing,19846171,18258477,16615,86%,100%
Prologis,L68812,W10890,Netherlands,Quantum Innovations,71396921,64257229,59759,85%,92%
Prologis,L87399,W10633,Portugal,Oasis Realty,42067360,41226013,43287,89%,100%
Prologis,L40298,W10371,Germany,Pacific Pearl Investments,9017834,8476764,7799,61%,80%
Prologis,L70495,W10409,Italy,Proxima Logistics,59158577,58566991,61495,64%,100%
Prologis,L80694,W10161,Netherlands,Pinnacle Painters,56772411,53366066,56568,53%,100%
Prologis,L60363,W10928,France,Elysian Fashion House,57285503,60149778,63157,60%,100%
Prologis,L80281,W10417,Portugal,AquaTrek Adventures,91211845,88475490,87591,95%,100%
Prologis,L55319,W10302,Russia,Infinite Horizons Travel,79846281,79846281,74257,62%,100%
Prologis,L58239,W10287,Netherlands,Everest Expeditions,70051240,65147653,70359,86%,100%
Prologis,L63266,W10338,Russia,SolarWinds Engineering,66419420,63098449,69408,57%,65%
Prologis,L10367,W10410,Russia,TerraNova Environmental,123737,115075,116,78%,100%
Prologis,L10854,W10010,France,Unity Web Solutions,54704066,57439269,62034,67%,70%
Prologis,L76469,W10695,Germany,Firefly Technologies,34709787,36445276,37174,57%,100%
Prologis,L89958,W10097,Sweden,Aquatic Adventures,87478964,83105016,76457,78%,100%
Prologis,L19608,W10782,Netherlands,Everest Expeditions,83422167,83422167,80085,61%,88%
Prologis,L77649,W10756,UK,SolarGlow Sustainable Energy,27518226,29994866,29695,82%,100%
Prologis,L71575,W10918,UK,Alpine Cafe & Bistro,88393054,87509123,81383,69%,100%
Prologis,L25530,W10646,Sweden,Elemental Designs,35584378,33093472,36072,50%,53%
Prologis,L78397,W10268,Sweden,Nexus Financial Group,3314373,3181798,2991,66%,75%
Prologis,L54608,W10806,Russia,GlobalGreen Energy,92613566,99096516,98106,80%,100%
Prologis,L43956,W10983,Germany,Atlas Logistics,63801496,61249436,64312,79%,100%
Prologis,L33024,W10352,France,Fusion Foods Inc.,38639065,37093502,40061,53%,100%
Prologis,L87530,W10138,Portugal,OceanView Real Estate,21024155,19762706,20553,69%,100%
Prologis,L75657,W10081,UK,StellarTech Solutions,50945428,45850885,42183,47%,100%
Prologis,L81976,W10001,France,LunaTide Productions,36517661,37978367,40637,96%,100%
Prologis,L55984,W10004,Italy,Evolve Fitness Club,67292428,73348747,71882,98%,100%
Prologis,L87179,W10246,Portugal,TerraFirm Landscaping,87513759,96265135,102041,76%,100%
Prologis,L63222,W10970,Sweden,Zenith Zen Spa,81769962,80952262,85000,70%,100%
Prologis,L70978,W10205,Sweden,Crimson Creative Agency,10840764,10190318,10394,65%,100%
Prologis,L19821,W10441,UK,StellarTech Solutions,18864237,19241522,19819,52%,100%
Prologis,L15743,W10794,Germany,SolarX Innovations,57479845,57479845,60929,52%,100%
Prologis,L63434,W10367,Sweden,Aquatic Adventures,88762967,82549559,90805,53%,100%
Prologis,L39279,W10619,Sweden,Serenity Salon & Spa,14810599,15106811,16013,58%,100%
Prologis,L20571,W10465,Spain,Proxima Builders,49536425,52013246,50973,75%,100%
Prologis,L54396,W10277,Sweden,Aquatic Adventures,10706024,10813084,11354,92%,100%
Prologis,L51914,W10423,UK,Alpine Adventures,79609826,78813728,72509,63%,100%
Prologis,L17578,W10236,Germany,Radiant Realty,99866184,94872875,101514,64%,100%
Prologis,L73544,W10374,Russia,Oceanic Oil & Gas,79013048,79013048,80593,87%,100%
Prologis,L53678,W10521,Netherlands,Pinnacle Painters,99143936,100135375,104141,89%,100%
Prologis,L62579,W10260,Netherlands,Quantum Innovations,56893543,55186737,52427,51%,60%
Prologis,L21426,W10442,France,Fusion Foods Inc.,22622138,21264810,19564,64%,71%
Prologis,L73969,W10013,Italy,Golden Gate Catering,46218812,50378505,51890,94%,100%
Prologis,L75263,W10667,France,Tranquil Waters Spa,21947692,20411354,22452,65%,100%
Prologis,L69179,W10455,Russia,Aurora Engineering,59669711,63846591,65124,97%,100%
Prologis,L57244,W10558,UK,Alpine Cafe & Bistro,87217973,88962332,81845,53%,88%
Prologis,L34502,W10510,Spain,Phoenix Fitness Center,12693546,12947417,12947,76%,83%
Prologis,L65339,W10577,France,Tranquil Waters Spa,12494786,11745099,11158,92%,100%
Prologis,L59053,W10491,Russia,Envision Architects,90854472,93580106,91709,63%,94%
Prologis,L69089,W10703,France,GreenEarth Sustainable Living,49376102,46907297,50660,93%,100%
Prologis,L86431,W10969,Spain,Galaxy Graphics,17100911,17955957,17597,53%,60%
Prologis,L33077,W10426,Portugal,TerraFirm Landscaping,10553639,9498275,8738,61%,70%
Prologis,L49877,W10638,Netherlands,NovaTech Consulting,68797426,74989194,76489,55%,100%
Prologis,L48286,W10139,Italy,Proxima Logistics,15488361,13939525,13800,59%,69%
Prologis,L52138,W10937,France,Tranquil Waters Spa,74246623,70534292,64892,65%,100%
Prologis,L59223,W10585,UK,Quantum Quill Publishing,69314042,69314042,72087,71%,100%
Prologis,L51623,W10709,Sweden,Serenity Salon & Spa,85466002,76919402,74612,76%,100%
Prologis,L70537,W10189,UK,Solaris International,74017808,68096383,68096,53%,55%
Prologis,L86285,W10096,Spain,Horizon Law Firm,53368956,51234198,54821,80%,96%
Prologis,L15588,W10577,France,Tranquil Waters Spa,36279687,33014515,35986,86%,100%
Prologis,L42709,W10682,Sweden,Crystal Clear Pools,68198728,70244690,63923,61%,100%
Prologis,L16287,W10626,Russia,GlobalGreen Energy,7930147,7612941,7308,75%,100%
Prologis,L17885,W10666,UK,SolarGlow Sustainable Energy,81647571,84096998,79892,100%,100%
Prologis,L20652,W10015,Spain,Proxima Builders,58339332,61256299,67382,71%,100%
Prologis,L64026,W10016,Sweden,Elemental Designs,62811618,56530456,59357,76%,100%
Prologis,L78611,W10206,Netherlands,Firefly Technologies,97842079,89036292,90817,48%,100%
Prologis,L32499,W10121,Italy,SilverLakes Realty,5976363,5558018,6003,59%,60%
Prologis,L43001,W10470,Germany,Radiant Cosmetics,33892615,32536910,29609,77%,98%
Prologis,L26649,W10253,France,GreenEarth Sustainable Living,43169615,42737919,38464,93%,97%
Prologis,L73664,W10054,UK,Harmony Health Foods,97835026,102726777,95536,89%,100%
Prologis,L82219,W10602,Netherlands,Everest Expeditions,93018213,98599306,100571,84%,100%
Prologis,L71467,W10587,Germany,Galactic Gaming Studios,21910007,23881908,22688,91%,100%
Prologis,L72744,W10899,Netherlands,Sunbeam Technologies,4380750,3942675,3627,49%,100%
Prologis,L60652,W10578,Germany,Thunderbird Aerospace,20064336,21268196,20417,75%,100%
Prologis,L31922,W10703,France,GreenEarth Sustainable Living,63188253,67611431,64907,70%,100%
Prologis,L58082,W10245,Germany,Firefly Technologies,38311377,40993173,39353,79%,100%
Prologis,L12965,W10946,France,Luminous Events Planning,60206312,57798060,56064,91%,93%
Prologis,L48912,W10043,Sweden,Stellar Software Solutions,24961606,27208151,25848,57%,58%
Prologis,L64568,W10864,UK,Harmony Health Foods,7918917,7364593,8027,52%,76%
Prologis,L30325,W10579,Portugal,Starlight Financial Services,7270958,7707215,7168,84%,100%
Prologis,L83344,W10430,Sweden,Zenith Zen Spa,93291301,83962171,85641,58%,91%
Prologis,L41400,W10135,UK,Quantum Quill Publishing,6858932,6378807,6124,71%,100%
Prologis,L50283,W10563,Russia,Phoenix Pharmaceuticals,61706129,67259681,66587,86%,100%
Prologis,L14763,W10589,Italy,Proxima Logistics,7445080,7072826,7214,58%,60%
Prologis,L88510,W10493,Sweden,Stellar Software Solutions,94876579,85388921,93928,80%,83%
Prologis,L65548,W10753,Spain,Zenith Capital Management,6432637,6625616,6957,95%,100%
Prologis,L76938,W10865,France,Moonlight Motors,86180148,81871141,81871,92%,100%
Prologis,L74822,W10353,Germany,Atlas Logistics,60444509,62862289,62234,100%,100%
Prologis,L85875,W10050,Russia,TerraNova Environmental,34359383,30923445,32160,84%,100%
Prologis,L28177,W10668,Germany,Thunderbird Aerospace,90695989,94323829,96210,56%,100%
Prologis,L41368,W10613,France,GreenEarth Sustainable Living,16334853,15191413,16559,58%,82%
Prologis,L17128,W10197,Netherlands,Everest Expeditions,79402753,82578863,80101,64%,80%
Prologis,L19613,W10389,Germany,EchoStar Communications,66130413,65469109,65469,88%,100%
Prologis,L27025,W10766,France,Luminous Events Planning,69528968,70919547,75175,61%,100%
Prologis,L87572,W10364,Italy,Evolve Fitness Club,81564361,75854856,73579,78%,100%
Prologis,L27828,W10384,Spain,Verdant Valley Farms,67925684,61812372,56249,75%,100%
Prologis,L45201,W10176,Russia,GlobalGreen Energy,79827245,84616880,88002,96%,100%
Prologis,L20406,W10214,Sweden,Pinnacle Productions,61741407,57419509,60290,73%,100%
Prologis,L47853,W10290,Germany,Radiant Cosmetics,36299434,39566383,37192,68%,100%
Prologis,L69891,W10267,Spain,Celestial Studios,37593887,35338254,32158,53%,54%
Prologis,L26688,W10683,Netherlands,Celestial Travel Agency,26586995,27384605,29028,61%,87%
Prologis,L27521,W10392,Russia,Infinite Horizons Travel,1902500,2073725,1929,88%,100%
Prologis,L21785,W10430,Sweden,Zenith Zen Spa,70512049,63460844,68538,81%,100%
Prologis,L20514,W10099,UK,Solaris International,47064510,51300316,55404,66%,100%
Prologis,L68510,W10860,Russia,TerraNova Environmental,22013229,21132700,19231,84%,100%
Prologis,L63075,W10911,Germany,Pacific Pearl Investments,84472521,76025269,79066,54%,100%
Prologis,L25901,W10888,Spain,Starship Security Services,62676041,62049281,64531,65%,100%
Prologis,L35769,W10064,France,Crimson Creative Agency,45716538,48459530,47006,68%,76%
Prologis,L22373,W10496,France,Luminous Events Planning,5486426,5376697,5753,70%,100%
Prologis,L80108,W10602,Netherlands,Everest Expeditions,83136163,75653908,80950,58%,100%
Prologis,L40399,W10680,Russia,TerraNova Environmental,24608775,24116600,26046,76%,100%
Prologis,L35688,W10056,Germany,Radiant Realty,51869880,49795085,51787,78%,100%
Prologis,L62977,W10382,Italy,SolarFlare Solar Panels,49985798,54484520,50126,62%,100%
Prologis,L36472,W10078,Spain,Starship Security Services,5801656,6207772,6022,74%,100%
Prologis,L38641,W10520,Sweden,Zenith Zen Spa,60659902,61873100,60017,60%,100%
Prologis,L47995,W10427,Italy,OceanView Oil & Gas,48168595,46723537,45789,72%,79%
Prologis,L74702,W10999,UK,Solaris International,34329602,33643010,31961,52%,100%
Prologis,L13388,W10359,Netherlands,Sunbeam Technologies,79409669,73056895,74518,53%,100%
Prologis,L54590,W10647,Netherlands,Everest Expeditions,35686920,35330051,38510,99%,100%
Prologis,L33933,W10851,Russia,Envision Architects,35119255,34416870,33040,94%,97%
Prologis,L39346,W10962,Netherlands,Everest Expeditions,34348081,30913273,30295,71%,100%
Prologis,L52958,W10655,Sweden,Crimson Creative Agency,350969,333421,330,71%,100%
Prologis,L63336,W10236,Germany,Radiant Realty,86631395,93561907,102918,58%,100%
Prologis,L35593,W10772,Sweden,Crystal Clear Pools,18921086,18542664,17986,62%,100%
Prologis,L82640,W10302,Russia,Infinite Horizons Travel,96061396,86455256,80403,83%,100%
Prologis,L76006,W10572,Russia,Infinite Horizons Travel,88881000,85325760,90445,89%,95%
Prologis,L82358,W10387,UK,Moonlight Music Academy,17190337,15643207,14861,61%,97%
Prologis,L18085,W10789,Spain,Galaxy Graphics,13128871,13916603,12525,100%,100%
Prologis,L50957,W10466,Sweden,Elemental Designs,49271976,50750135,47198,81%,100%
Prologis,L43987,W10991,France,LunaTide Productions,59991502,58791672,55264,74%,92%
Prologis,L67502,W10043,Sweden,Stellar Software Solutions,74020172,74020172,80682,65%,100%
Prologis,L56604,W10721,France,LunaTide Productions,45952957,41357661,37635,59%,100%
Prologis,L36851,W10317,Germany,Galactic Gaming Studios,14129435,15259790,15260,57%,100%
Prologis,L50063,W10203,Russia,Phoenix Pharmaceuticals,35383459,38567970,37411,61%,100%
Prologis,L45421,W10479,Germany,EchoStar Communications,27762451,28595325,27737,53%,73%
Prologis,L72194,W10842,Russia,Infinite Horizons Travel,55920263,60953087,56686,59%,100%
Prologis,L62184,W10730,France,Unity Web Solutions,69820343,71914953,76230,97%,100%
Prologis,L55693,W10771,Spain,Zenith Marketing Group,90373198,89469466,96627,95%,100%
Prologis,L24133,W10404,Netherlands,Cascade Construction,24297178,25755009,28073,80%,100%
Prologis,L30622,W10799,Sweden,Serenity Salon & Spa,19999946,18999949,18050,50%,100%
Prologis,L57903,W10202,Italy,SolarFlare Solar Panels,94662920,88036516,88037,48%,56%
Prologis,L15099,W10609,Spain,Galaxy Graphics,45356016,49891618,51887,64%,64%
Prologis,L21078,W10892,France,Fusion Foods Inc.,61819446,67383196,64688,93%,100%
Prologis,L32280,W10274,Italy,Evolve Fitness Club,26078248,28425290,28710,100%,100%
Prologis,L70581,W10994,Italy,Evolve Fitness Club,85731344,77158210,79473,80%,100%
Prologis,L65402,W11000,France,Unity Web Solutions,27727657,29668593,28482,91%,100%
Prologis,L41512,W10606,Portugal,TerraFirm Landscaping,84166290,85007953,76507,79%,100%
Prologis,L67331,W10931,Italy,SilverLakes Realty,72839881,70654685,67828,85%,100%
Prologis,L19953,W10081,UK,StellarTech Solutions,97325813,91486264,83253,69%,89%
Prologis,L28085,W10700,Sweden,Zenith Zen Spa,5668078,5327993,5594,92%,100%
Prologis,L19552,W10331,Sweden,Solaris Solutions,46482311,47876780,49313,84%,100%
Prologis,L42165,W10661,Italy,SilverLakes Realty,57316316,60755295,61970,100%,100%
Prologis,L66384,W10065,Germany,Firefly Technologies,96821464,103598966,96347,56%,62%
Prologis,L72285,W10287,Netherlands,Everest Expeditions,25025024,23523523,22112,74%,100%
Prologis,L45088,W10186,Spain,Horizon Law Firm,37890454,40921690,36830,100%,100%
Prologis,L15918,W10613,France,GreenEarth Sustainable Living,83648584,81975612,77877,58%,100%
Prologis,L89682,W10363,Portugal,Oasis Realty,22909885,23368083,23602,70%,96%
Prologis,L52464,W10969,Spain,Galaxy Graphics,22816036,20990753,21201,91%,100%
Prologis,L77512,W10989,Netherlands,Sunbeam Technologies,4737261,4737261,4311,56%,100%
Prologis,L89843,W10672,Spain,Elemental Eats Catering,21687681,22338311,21668,90%,100%
Prologis,L77788,W10599,Russia,Aurora Accounting Services,16880198,15360980,15668,55%,100%
Prologis,L44830,W10683,Netherlands,Celestial Travel Agency,28004903,30525344,30525,100%,100%
Prologis,L44590,W10107,Netherlands,Everest Expeditions,66421023,61107341,61107,60%,100%
Prologis,L41649,W10361,France,LunaTide Productions,42782902,42355073,44473,92%,93%
Prologis,L14766,W10704,Germany,SolarX Innovations,46799571,46799571,45864,57%,100%
Prologis,L51800,W10144,UK,Harmony Health Foods,69287018,62358316,62358,88%,100%
Prologis,L88352,W10798,Spain,Starship Security Services,84208383,76629629,81227,61%,100%
Prologis,L50945,W10110,Germany,Radiant Cosmetics,72275216,66493199,70483,67%,100%
Prologis,L52937,W10795,Portugal,Crimson Catering,38001632,38001632,37242,53%,100%
Prologis,L86929,W10208,France,Elysian Fashion House,70055958,70055958,73559,52%,85%
Prologis,L45903,W10342,UK,Horizon Harmonics Music School,4602670,4970884,4822,77%,100%
Prologis,L30357,W10289,France,TerraVista Landscaping,68636526,71381987,73523,100%,100%
Prologis,L22763,W10203,Russia,Phoenix Pharmaceuticals,67204033,67876073,74664,81%,81%
Prologis,L11920,W10402,Spain,Elemental Eats Catering,21037233,22509839,24311,73%,100%
Prologis,L62058,W10255,Portugal,Crimson Catering,52712632,49549874,47568,81%,89%
Prologis,L47509,W10797,Russia,AquaSplash Water Park,77738953,85512848,78672,81%,100%
Prologis,L76731,W10800,Netherlands,Quantum Innovations,56202244,51706064,51189,87%,100%
Prologis,L17930,W10181,France,LunaTide Productions,89287417,92858914,87287,77%,100%
Prologis,L12677,W10365,Russia,Aurora Engineering,59644630,56662399,58362,52%,93%
Prologis,L39859,W10577,France,Tranquil Waters Spa,8570696,8227868,8557,75%,100%
Prologis,L73186,W10780,Spain,Phoenix Fitness Center,89512233,81456132,81456,66%,100%
Prologis,L67898,W10316,France,Luminous Events Planning,51133805,54201833,50950,70%,100%
Prologis,L47375,W10410,Russia,TerraNova Environmental,85661802,77095622,81721,50%,80%
Prologis,L87552,W10719,Netherlands,Sunbeam Technologies,17886877,17529139,16828,62%,75%
Prologis,L69639,W10747,UK,Moonlight Music Academy,33508578,31833149,31833,83%,100%
Prologis,L52840,W10735,Spain,Proxima Builders,78926956,71823530,71105,67%,100%
Prologis,L58654,W10682,Sweden,Crystal Clear Pools,50309613,55340574,50360,100%,100%
Prologis,L11972,W10971,Netherlands,Pinnacle Painters,21153005,19037705,20561,61%,91%
Prologis,L67711,W10280,France,Unity Web Solutions,24177791,23210679,23443,86%,100%
Prologis,L80860,W10719,Netherlands,Sunbeam Technologies,17647912,15883121,17471,52%,100%
Prologis,L26456,W10004,Italy,Evolve Fitness Club,7026463,6745404,7285,69%,100%
Prologis,L53130,W10426,Portugal,TerraFirm Landscaping,45527283,48714193,52611,95%,100%
Prologis,L27664,W10208,France,Elysian Fashion House,22815665,21674882,23409,48%,87%
Prologis,L38444,W10314,Netherlands,Cascade Construction,3502200,3467178,3363,89%,100%
Prologis,L47547,W10281,Germany,Pacific Pearl Investments,56027513,58268614,53024,84%,100%
Prologis,L62618,W10173,Germany,Atlas Logistics,5000994,5451083,5506,60%,87%
Prologis,L47704,W10762,Spain,Elemental Eats Catering,79691006,72518815,79771,83%,99%
Prologis,L50781,W10667,France,Tranquil Waters Spa,8509374,8679561,8766,100%,100%
Prologis,L16995,W10444,Portugal,BrightWave Marketing,88076867,81911486,86826,58%,75%
Prologis,L76158,W10533,Germany,Atlas Logistics,57596648,52412950,47172,72%,100%
Prologis,L42673,W10944,Netherlands,Cascade Construction,46823270,44482107,45372,51%,100%
Prologis,L87964,W10252,UK,Horizon Harmonics Music School,70133722,72939071,70022,67%,96%
Prologis,L12715,W10650,Germany,Radiant Cosmetics,5472456,5636630,5355,95%,100%
Prologis,L80549,W10842,Russia,Infinite Horizons Travel,29565287,31339204,33846,98%,100%
Prologis,L56858,W10478,France,Elysian Fashion House,24605500,22883115,21281,54%,100%
Prologis,L82717,W10858,Portugal,OceanView Real Estate,95391480,100161054,103166,91%,100%
Prologis,L44533,W10164,Germany,SolarX Innovations,43488163,47836979,47359,68%,100%
Prologis,L49581,W10840,Portugal,SolarWave Energy Solutions,78202271,77420248,75098,68%,100%
Prologis,L73410,W10695,Germany,Firefly Technologies,71124267,66856811,71537,94%,100%
Prologis,L84870,W10511,Sweden,Solaris Solutions,13796051,12692367,12439,81%,100%
Prologis,L19906,W10724,Italy,Evolve Fitness Club,94415362,96303669,98230,86%,92%
Prologis,L45580,W10859,Italy,Proxima Logistics,91929612,92848908,95634,78%,100%
Prologis,L32320,W10359,Netherlands,Sunbeam Technologies,76354677,70246303,73759,80%,100%
Prologis,L15628,W10769,Italy,Proxima Logistics,74707132,81430774,85502,62%,71%
Prologis,L23316,W10097,Sweden,Aquatic Adventures,4427589,4029106,4029,50%,52%
Prologis,L74285,W10200,Germany,Radiant Cosmetics,4541242,4632067,4632,71%,100%
Prologis,L71234,W10592,Sweden,Crystal Clear Pools,25216270,25468433,27761,74%,100%
Prologis,L12103,W10377,Netherlands,Everest Expeditions,99981789,102981243,92683,71%,73%
Prologis,L54010,W10220,Italy,Serenity Yoga Studio,53935340,57710814,58865,85%,100%
Prologis,L84848,W10935,Netherlands,Horizon Healthcare Group,47641744,51453084,50424,83%,100%
Prologis,L67034,W10607,Italy,OceanView Oil & Gas,10603569,10179426,10994,54%,100%
Prologis,L75194,W10245,Germany,Firefly Technologies,69819038,75404561,70880,83%,100%
Prologis,L54544,W10670,Italy,Serenity Yoga Studio,67229791,63196004,68884,77%,85%
Prologis,L30310,W10569,Germany,EchoStar Communications,2450727,2303683,2096,67%,100%
Prologis,L55804,W10553,Italy,Golden Gate Catering,7608491,7836746,8542,66%,100%
Prologis,L62010,W10723,Portugal,Oasis Realty,46569749,44241262,41144,66%,72%
Prologis,L23571,W10683,Netherlands,Celestial Travel Agency,97291543,101183205,98148,92%,100%
Prologis,L79737,W10249,Spain,Galaxy Graphics,84639065,87178237,94152,68%,100%
Prologis,L36760,W10278,Netherlands,NovaTech Consulting,15149351,15149351,14089,61%,77%
Prologis,L62267,W10588,Portugal,OceanView Real Estate,46711480,45310136,49388,70%,100%
Prologis,L73435,W10338,Russia,SolarWinds Engineering,49313471,50792875,52825,100%,100%
Prologis,L57467,W10433,France,GreenEarth Sustainable Living,14679480,15413454,14489,82%,100%
Prologis,L74437,W10347,Russia,AquaSplash Water Park,81121538,77065461,70900,49%,100%
Prologis,L50198,W10467,Netherlands,Everest Expeditions,64577974,67161093,65146,66%,100%
Prologis,L24441,W10491,Russia,Envision Architects,43209356,39320514,37354,90%,100%
Prologis,L65070,W10462,Portugal,Orion Analytics,47060800,46119584,46120,49%,100%